UNODC	unodc_ddds@un.org											
15/05/2024												
Iso3_code	Country	Region	Subregion	Indicator	Dimension	Category	Sex	Age	Year	Unit of measurement	VALUE	Source
ARM	Armenia	Asia	Western Asia	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2013	Counts	35	CTS
CHE	Switzerland	Europe	Western Europe	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2013	Counts	28	CTS
COL	Colombia	Americas	Latin America and the Caribbean	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2013	Counts	15053	CTS
CZE	Czechia	Europe	Eastern Europe	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2013	Counts	69	CTS
DEU	Germany	Europe	Western Europe	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2013	Counts	455	CTS
FIN	Finland	Europe	Northern Europe	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2013	Counts	70	CTS
GTM	Guatemala	Americas	Latin America and the Caribbean	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2013	Counts	2764	CTS
HND	Honduras	Americas	Latin America and the Caribbean	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2013	Counts	905	CTS
HUN	Hungary	Europe	Eastern Europe	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2013	Counts	229	CTS
ISL	Iceland	Europe	Northern Europe	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2013	Counts	1	CTS
ITA	Italy	Europe	Southern Europe	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2013	Counts	864	CTS
JPN	Japan	Asia	Eastern Asia	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2013	Counts	259	CTS
LKA	Sri Lanka	Asia	Southern Asia	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2013	Counts	809	CTS
LTU	Lithuania	Europe	Northern Europe	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2013	Counts	173	CTS
MNG	Mongolia	Asia	Eastern Asia	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2013	Counts	207	CTS
NOR	Norway	Europe	Northern Europe	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2013	Counts	16	CTS
SRB	Serbia	Europe	Southern Europe	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2013	Counts	134	CTS
SVK	Slovakia	Europe	Eastern Europe	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2013	Counts	53	CTS
SVN	Slovenia	Europe	Southern Europe	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2013	Counts	16	CTS
TUR	Türkiye	Asia	Western Asia	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2013	Counts	9891	CTS
ARM	Armenia	Asia	Western Asia	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2014	Counts	41	CTS
CHE	Switzerland	Europe	Western Europe	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2014	Counts	26	CTS
COL	Colombia	Americas	Latin America and the Caribbean	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2014	Counts	16476	CTS
CZE	Czechia	Europe	Eastern Europe	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2014	Counts	55	CTS
DEU	Germany	Europe	Western Europe	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2014	Counts	489	CTS
FIN	Finland	Europe	Northern Europe	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2014	Counts	66	CTS
GTM	Guatemala	Americas	Latin America and the Caribbean	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2014	Counts	2649	CTS
HND	Honduras	Americas	Latin America and the Caribbean	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2014	Counts	1319	CTS
HUN	Hungary	Europe	Eastern Europe	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2014	Counts	204	CTS
ISL	Iceland	Europe	Northern Europe	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2014	Counts	1	CTS
ITA	Italy	Europe	Southern Europe	Persons arrested/suspected for intentional homicide	by citizenship	National citizens	Male	Total	2014	Counts	806	CTS
